site_code,site_name,latitude,longitude,country,rls_mpa,rls_protection_status_old,designation,protected_seas_id,wdpa_id,ps_name,ps_country,year_of_protection,level_fishing_protection,mpa_marine_area_km,zone_marine_area_km,compliance,data_source,validated,comments
ETP182,Las Cuevas Sur,-1.26277,-90.3581,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,50,50.000,Medium,RLS,EC,
ETP183,Llorona,-1.47334,-80.7893,Ecuador,Machalilla,No take,MPA,AIECU46,189,machalilla,Ecuador,1994,3,105,24.011,Low,Mix,EC,Zone size updated.
ETP184,Los CaÃ±ones Pesca (1),-0.32864,-91.338,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,Medium,RLS,EC,
ETP185,Los CaÃ±ones Pesca (2),-0.33099,-91.3378,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,Medium,RLS,EC,
ETP186,Los Islotes Salango,-1.60077,-80.8587,Ecuador,Machalilla,No take,MPA,AIECU46,189,machalilla,Ecuador,1994,3,105,28.796,Low,Mix,EC,Zone size updated.
ETP187,Montuosa Norte,7.47783,-82.2433,Panama,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP188,Montuosa Sureste,7.46242,-82.2321,Panama,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP189,Palo Santo Isla de la Plata,-1.27515,-81.0521,Ecuador,Machalilla,No take,MPA,AIECU46,189,machalilla,Ecuador,1994,3,75,85.037,Low,Mix,EC,Zone size updated.
ETP19,Atrevido,5.52842,-87.03,Costa Rica,Cocos National Park,No take,MPA,AICRI52,166740,isla del coco national park marine protected area,Costa Rica,1984,5,2011.392472,2011.258,High,PS,EC,Year of protection updated.
ETP190,ParaÃ­so de Pedro,-0.33477,-91.6579,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,40,40.000,Medium,RLS,EC,
ETP191,Pared Fantasma,4.00653,-81.6035,Colombia,Malpelo Flora and Fauna Sanctuary,No take,MPA,AICOL30,303552,malpelo,Colombia,1995,5,26664.98478,26665.010,High,PS,EC,
ETP192,Pared Naufrago,4.00831,-81.606,Colombia,Malpelo Flora and Fauna Sanctuary,No take,MPA,AICOL30,303552,malpelo,Colombia,1995,5,26664.98478,26665.010,High,PS,EC,
ETP193,Pared Naufrago Norte,4.00855,-81.6054,Colombia,Malpelo Flora and Fauna Sanctuary,No take,MPA,AICOL30,303552,malpelo,Colombia,1995,5,26664.98478,26665.010,High,PS,EC,
ETP194,Pared Naufrago Sur,4.00787,-81.6066,Colombia,Malpelo Flora and Fauna Sanctuary,No take,MPA,AICOL30,303552,malpelo,Colombia,1995,5,26664.98478,26665.010,High,PS,EC,
ETP195,Pasage Rock,7.31638,-81.7111,Panama,Coiba National Park,Restricted take multizoned,MPA,AIPAN19,902479,coiba national park and its special zone of marine protection (szmp)- resource management zone,Panama,2005,3,1557.392316,1544.964,Medium,PS,EC,
ETP196,Pedernales Machalilla,-1.50074,-80.8047,Ecuador,Machalilla,No take,MPA,AIECU46,189,machalilla,Ecuador,1994,3,105,24.011,Low,Mix,EC,Zone size updated.
ETP197,Playa Tortuga Negra (1),-0.25808,-91.3872,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,24,24.000,Medium,RLS,EC,
ETP198,Playa Tortuga Negra (2),-0.26084,-91.3877,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,24,24.000,Medium,RLS,EC,
ETP2,TabogaSW,8.77569,-79.5442,Panama,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP20,Punta Maria,5.53536,-87.0868,Costa Rica,Cocos National Park,No take,MPA,AICRI52,166740,isla del coco national park marine protected area,Costa Rica,1984,5,2011.392472,,High,PS,EC,Year of protection updated.
ETP200,Punta Adelarda,7.48757,-81.8886,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,288.826,Medium,PS,EC,
ETP201,Punta Aeropuerto Isla de la Plata,-1.27907,-81.0752,Ecuador,Machalilla,No take,MPA,AIECU46,189,machalilla,Ecuador,1994,3,75,85.037,Low,Mix,EC,Zone size updated.
ETP202,Punta Ballena Isla de la Plata,-1.27642,-81.0504,Ecuador,Machalilla,No take,MPA,AIECU46,189,machalilla,Ecuador,1994,3,75,85.037,Low,Mix,EC,Zone size updated.
ETP203,Punta Calle Este,0.2821,-90.4915,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,Medium,RLS,EC,
ETP204,Punta Calle Oeste,0.28602,-90.5015,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,Medium,RLS,EC,
ETP205,Punta CormorÃ¡n,-1.22564,-90.4195,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,50,50.000,Medium,RLS,EC,
ETP206,Punta Damas,7.51672,-81.6708,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,288.826,Medium,PS,EC,
ETP207,Punta Espinosa Norte (1),-0.27079,-91.437,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,7,7.000,Medium,RLS,EC,
ETP208,Punta Espinosa Norte (2),-0.26194,-91.4446,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,7,7.000,Medium,RLS,EC,
ETP209,Punta Espinosa Sur (1),-0.27205,-91.435,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,7,7.000,Medium,RLS,EC,
ETP21,Roca Sucia,5.54822,-87.0817,Costa Rica,Cocos National Park,No take,MPA,AICRI52,166740,isla del coco national park marine protected area,Costa Rica,1984,5,2011.392472,2011.258,High,PS,EC,Year of protection updated.
ETP210,Punta Espinosa Sur (2),-0.2739,-91.4311,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,Medium,RLS,EC,
ETP211,Punta Felipa,7.42182,-81.6955,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,288.826,Medium,PS,EC,
ETP212,Punta Hermosa Norte,7.54435,-81.859,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,288.826,Medium,PS,EC,
ETP213,Punta Luz de DÃ­a,-1.23015,-90.4737,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,Medium,RLS,EC,
ETP214,Punta Luz de DÃ­a Oeste,-1.22964,-90.4682,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,Medium,RLS,EC,
ETP215,Punta Machete Isla de la Plata,-1.25533,-81.0702,Ecuador,Machalilla,No take,MPA,AIECU46,189,machalilla,Ecuador,1994,3,75,85.037,Low,Mix,EC,Zone size updated.
ETP216,Punta Mala,-1.52181,-80.8167,Ecuador,Machalilla,No take,MPA,AIECU46,189,machalilla,Ecuador,1994,3,105,24.011,Low,Mix,EC,Zone size updated.
ETP217,Punta Moreno Pesca (1),-0.69246,-91.3227,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,Medium,RLS,EC,
ETP218,Punta Moreno Pesca (2),-0.69066,-91.318,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,Medium,RLS,EC,
ETP219,Punta Moreno Prot (1),-0.71585,-91.3404,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,22,22.000,Medium,RLS,EC,
ETP22,Punta Gissler,5.54335,-87.0718,Costa Rica,Cocos National Park,No take,MPA,AICRI52,166740,isla del coco national park marine protected area,Costa Rica,1984,5,2011.392472,2011.258,High,PS,EC,Year of protection updated.
ETP220,Punta Moreno Prot (2),-0.72589,-91.3498,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,22,22.000,Medium,RLS,EC,
ETP221,Punta Moreno Turismo (1),-0.70053,-91.3313,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,22,22.000,Medium,RLS,EC,
ETP222,Punta Moreno Turismo (2),-0.70266,-91.3313,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,22,22.000,Medium,RLS,EC,
ETP223,Punta Piedra Hueca,7.4054,-81.8182,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,288.826,Medium,PS,EC,
ETP224,Punta Priscila (1),-0.3713,-91.3813,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,Medium,RLS,EC,
ETP225,Punta Priscila (2),-0.36996,-91.3799,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,Medium,RLS,EC,
ETP226,Punta Vicente Roca Pesca (1),-0.04116,-91.5275,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,Medium,RLS,EC,
ETP227,Punta Vicente Roca Pesca (2),-0.04037,-91.5219,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,Medium,RLS,EC,
ETP228,Punta Vicente Roca Prot (1),-0.04991,-91.5468,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,48,48.000,Medium,RLS,EC,
ETP229,Punta Vicente Roca Prot (2),-0.04701,-91.5444,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,48,48.000,Medium,RLS,EC,
ETP23,Punta Presidio,5.54994,-87.0604,Costa Rica,Cocos National Park,No take,MPA,AICRI56,170,isla del coco national park - low intervention zone - conservation 2-a subzone,Costa Rica,1984,4,2.622839108,0.139,High,PS,EC,Year of protection updated.
ETP230,Punta Vicente Roca Turismo (1),-0.0536,-91.5592,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,48,48.000,Medium,RLS,EC,
ETP231,Punta Vicente Roca Turismo (2),-0.05167,-91.5588,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,48,48.000,Medium,RLS,EC,
ETP232,Roca Cousins,-0.23645,-90.5745,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,2.5,2.500,Medium,RLS,EC,
ETP233,Roca Espejo,0.31283,-90.4013,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,1,1.000,Medium,RLS,EC,
ETP234,Roca Sumergida,5.50014,-87.0801,Costa Rica,Cocos National Park,No take,MPA,AICRI52,166740,isla del coco national park marine protected area,Costa Rica,1984,5,2011.392472,2011.258,High,PS,EC,Year of protection updated.
ETP235,Salango Sur,-1.59102,-80.8716,Ecuador,Machalilla,No take,MPA,AIECU46,189,machalilla,Ecuador,1994,3,105,28.796,Low,Mix,EC,Zone size updated.
ETP236,Santiago Noreste (1),-0.23095,-90.588,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,Medium,RLS,EC,
ETP237,Santiago Noreste (2),-0.23551,-90.5806,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,Medium,RLS,EC,
ETP238,Secas E,7.94755,-82.0223,Panama,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP239,Secas SE,7.9521,-82.0366,Panama,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP24,BahÃ­a Wafer,5.54595,-87.0623,Costa Rica,Cocos National Park,No take,MPA,AICRI52,166740,isla del coco national park marine protected area,Costa Rica,1984,5,2011.392472,2011.258,High,PS,EC,Year of protection updated.
ETP240,Silverado Norte,5.554,-87.0311,Costa Rica,Cocos National Park,No take,MPA,AICRI52,166740,isla del coco national park marine protected area,Costa Rica,1984,5,2011.392472,2011.258,High,PS,EC,Year of protection updated.
ETP241,Tres Cuevitas,-1.23515,-90.4084,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,50,50.000,Medium,RLS,EC,
ETP242,Uvita Abajo,7.80242,-81.746,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,70.479,Medium,PS,EC,
ETP243,Wolf Colonia de Lobos Norte,1.38374,-91.8117,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,6,6.000,High,RLS,EC,
ETP244,Wolf Colonia de Lobos Sur,1.38318,-91.8111,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,6,6.000,High,RLS,EC,
ETP245,Wolf Corales (1),1.38696,-91.8164,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,6,6.000,High,RLS,EC,
ETP246,Wolf Corales (2),1.387,-91.8166,Ecuador,Galapagos Marine Reserve,No take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,5,6,6.000,High,RLS,EC,
ETP247,Wolf Fondeadero (1),1.37867,-91.8194,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,High,RLS,EC,
ETP248,Wolf Fondeadero (2),1.37978,-91.8183,Ecuador,Galapagos Marine Reserve,Restricted take multizoned,MPA,AIECU192,11753,galapagos marine reserve,Ecuador,2000,3,136000,136000.000,High,RLS,EC,
ETP25,Dos Amigos,5.50856,-87.1012,Costa Rica,Cocos National Park,No take,MPA,AICRI52,166740,isla del coco national park marine protected area,Costa Rica,1984,5,2011.392472,2011.258,High,PS,EC,Year of protection updated.
ETP26,Roca Aleta de TiburÃ³n,5.49312,-87.089,Costa Rica,Cocos National Park,No take,MPA,AICRI52,166740,isla del coco national park marine protected area,Costa Rica,1984,5,2011.392472,2011.258,High,PS,EC,Year of protection updated.
ETP27,Punta Leonel,5.5193,-87.0958,Costa Rica,Cocos National Park,No take,MPA,AICRI52,166740,isla del coco national park marine protected area,Costa Rica,1984,5,2011.392472,2011.258,High,PS,EC,Year of protection updated.
ETP28,BahÃ­a Iglesias,5.50579,-87.0678,Costa Rica,Cocos National Park,No take,MPA,AICRI52,166740,isla del coco national park marine protected area,Costa Rica,1984,5,2011.392472,2011.258,High,PS,EC,Year of protection updated.
ETP29,BahÃ­a Inutil,5.51755,-87.0481,Costa Rica,isla del coco national park marine protected area,No take,MPA,AICRI52,166740,isla del coco national park marine protected area,Costa Rica,1998,5,2011.392472,2011.258,High,PS,EC,
ETP3,Urava Islote,8.76728,-79.539,Panama,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP30,BahÃ­a Carrillo 1,9.86011,-85.4872,Costa Rica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP31,Isla Chora,9.86374,-85.5162,Costa Rica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP32,BahÃ­a Carrillo 2 (NW),9.8652,-85.4965,Costa Rica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP33,BahÃ­a Carrillo 3 (N),9.86241,-85.4854,Costa Rica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP34,BahÃ­a Carrillo 4,9.86422,-85.4967,Costa Rica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP35,Punta Muneco,9.85037,-85.47,Costa Rica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP36,Camaronal Este,9.85023,-85.4188,Costa Rica,Refugio de Vida Silvestre Camaronal,No take,MPA,AICRI27,108133,tempisque conservation area - camaronal national wildlife refuge - protection zone,Costa Rica,1994,4,5.643683768,5.698,Low,PS,EC,
ETP37,BahÃ­a Islita,9.8485,-85.4021,Costa Rica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP38,Punta Islita,9.8424,-85.4005,Costa Rica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP39,BahÃ­a Camaronal,9.85339,-85.4606,Costa Rica,Refugio de Vida Silvestre Camaronal,No take,MPA,AICRI28,102322,tempisque conservation area - camaronal national wildlife refuge - marine protected area - sustainable resource use zone,Costa Rica,1994,3,161.4765971,155.948,Low,PS,EC,
ETP4,Pachequilla,8.67092,-79.0658,Panama,Las Perlas Marine Special Management Zone,Restricted take multizoned,MPA,,,zona especial de manejo marino costero archipielago de las perlas,Panama,1988,4,1272,1272,Low,Mix,EC,"This data isn't included in the PS database, but is available online. So this MPA will not have predictions."
ETP40,Punta Corsalito,9.84155,-85.374,Costa Rica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP41,Coyote Caves,9.76736,-85.2721,Costa Rica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP42,Punta Bejuco,9.81501,-85.3322,Costa Rica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP43,Caletas,9.7588,-85.2745,Costa Rica,Refugio de Vida Silvestre Caletas,No take,MPA,AICRI22,108133,tempisque conservation area - caletas ario national wildlife refuge - marine protection zone,Costa Rica,2006,4,1.262546702,1.287,Low,PS,EC,Year of protection updated.
ETP44,CaletasN,9.75662,-85.2714,Costa Rica,Refugio de Vida Silvestre Caletas,No take,MPA,AICRI22,108133,tempisque conservation area - caletas ario national wildlife refuge - marine protection zone,Costa Rica,2006,4,1.262546702,1.287,Low,PS,EC,Year of protection updated.
ETP45,Punta San JosÃ©,8.67714,-83.7169,Costa Rica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP46,Chorro,8.70656,-83.8663,Costa Rica,Reserva BiolÃ³gica Isla del CaÃ±o,No take,MPA,AICRI44,11849,osa conservation area - isla del caÃ±o biological reserve,Costa Rica,1976,4,52.08333635,51.752,Medium,PS,EC,
ETP47,Pharo,8.70352,-83.898,Costa Rica,Reserva BiolÃ³gica Isla del CaÃ±o,No take,MPA,AICRI44,11849,osa conservation area - isla del caÃ±o biological reserve,Costa Rica,1976,4,52.08333635,51.752,Medium,PS,EC,
ETP48,The Garden,8.71446,-83.882,Costa Rica,Reserva BiolÃ³gica Isla del CaÃ±o,No take,MPA,AICRI44,11849,osa conservation area - isla del caÃ±o biological reserve,Costa Rica,1976,4,52.08333635,51.752,Medium,PS,EC,
ETP49,Station West,8.71151,-83.8913,Costa Rica,Reserva BiolÃ³gica Isla del CaÃ±o,No take,MPA,AICRI44,11849,osa conservation area - isla del caÃ±o biological reserve,Costa Rica,1976,4,52.08333635,51.752,Medium,PS,EC,
ETP5,Pachequilla Este,8.67322,-79.0611,Panama,Las Perlas Marine Special Management Zone,Restricted take multizoned,MPA,,,zona especial de manejo marino costero archipielago de las perlas,Panama,1988,4,1272,1272,Low,Mix,EC,"This data isn't included in the PS database, but is available online. So this MPA will not have predictions."
ETP50,Ship Wreck,8.71817,-83.8764,Costa Rica,Reserva BiolÃ³gica Isla del CaÃ±o,No take,MPA,AICRI44,11849,osa conservation area - isla del caÃ±o biological reserve,Costa Rica,1976,4,52.08333635,51.752,Medium,PS,EC,
ETP51,Cano Coral Gardens,8.71623,-83.869,Costa Rica,Reserva BiolÃ³gica Isla del CaÃ±o,No take,MPA,AICRI44,11849,osa conservation area - isla del caÃ±o biological reserve,Costa Rica,1976,4,52.08333635,51.752,Medium,PS,EC,
ETP52,Caulerpa Gardens,8.6983,-83.8891,Costa Rica,Reserva BiolÃ³gica Isla del CaÃ±o,No take,MPA,AICRI44,11849,osa conservation area - isla del caÃ±o biological reserve,Costa Rica,1976,4,52.08333635,51.752,Medium,PS,EC,
ETP53,Diablo,8.70105,-83.9147,Costa Rica,Reserva BiolÃ³gica Isla del CaÃ±o,No take,MPA,AICRI44,11849,osa conservation area - isla del caÃ±o biological reserve,Costa Rica,1976,4,52.08333635,51.752,Medium,PS,EC,
ETP54,Paradiso,8.73154,-83.8263,Costa Rica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP55,Punta San Pedro,8.63799,-83.7363,Costa Rica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP56,Roca Matapalo,8.36985,-83.2879,Costa Rica,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP57,Ladrones NW,7.87083,-82.4446,Panama,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP58,Isla Ladrones NE,7.86957,-82.4358,Panama,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP59,Isla Tintorera,8.12392,-82.3033,Panama,Golfo de Chiriqui Marine National Park,No take,,NA,,NA,Panama,1994,5,NA,144.700,Low,RLS,,Can't find any information on restrictions in place so going with RLS protection status.
ETP6,Chapera,8.58036,-79.0187,Panama,Las Perlas Marine Special Management Zone,Restricted take multizoned,MPA,,,zona especial de manejo marino costero archipielago de las perlas,Panama,1988,4,1272,1272,Low,Mix,EC,"This data isn't included in the PS database, but is available online. So this MPA will not have predictions."
ETP60,Punta Lanza,8.11851,-82.3236,Panama,Golfo de Chiriqui Marine National Park,No take,,NA,,NA,Panama,1994,5,NA,144.700,Low,RLS,,Can't find any information on restrictions in place so going with RLS protection status.
ETP61,Isla Berraco,8.08927,-82.258,Panama,Golfo de Chiriqui Marine National Park,No take,,NA,,NA,Panama,1994,5,NA,144.700,Low,RLS,,Can't find any information on restrictions in place so going with RLS protection status.
ETP62,BolaÃ±os Isla,8.09443,-82.2619,Panama,Golfo de Chiriqui Marine National Park,No take,,NA,,NA,Panama,1994,5,NA,144.700,Low,RLS,,Can't find any information on restrictions in place so going with RLS protection status.
ETP63,Seca North,7.96417,-82.0578,Panama,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP64,Secas,7.99153,-82.0724,Panama,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP65,Islote Cavada NE,8.00028,-82.0261,Panama,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP66,Secas O,7.97507,-82.0184,Panama,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP67,Seca Este,7.94755,-82.0223,Panama,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP68,Roca Bruja,7.99112,-81.9825,Panama,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ETP69,Bajo Urraca,7.8391,-81.7966,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,70.479,Medium,PS,EC,
ETP7,Membrillo,8.51917,-79.0108,Panama,Las Perlas Marine Special Management Zone,Restricted take multizoned,MPA,,,zona especial de manejo marino costero archipielago de las perlas,Panama,1988,4,1272,1272,Low,Mix,EC,"This data isn't included in the PS database, but is available online. So this MPA will not have predictions."
ETP70,Brincanco,7.84978,-81.7875,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,70.479,Medium,PS,EC,
ETP71,Isla Pajaros,7.8704,-81.777,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,70.479,Medium,PS,EC,
ETP72,Brincanco N,7.8745,-81.7947,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,70.479,Medium,PS,EC,
ETP73,Bajo El Sueno del Pescador,7.88547,-81.8143,Panama,Coiba National Park,No take multizoned,MPA,AIPAN19,902479,coiba national park and its special zone of marine protection (szmp)- resource management zone,Panama,2005,3,1557.392316,1557.392,Medium,,,This site falls in the restricted take zone
ETP74,Sin Nombre NE,7.84293,-81.7539,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,70.479,Medium,PS,EC,
ETP75,Urita Arriba,7.81928,-81.7388,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,70.479,Medium,PS,EC,
ETP76,Almohada N,7.81937,-81.7715,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,70.479,Medium,PS,EC,
ETP77,Uva Sur,7.80103,-81.7611,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,70.479,Medium,PS,EC,
ETP78,Roca Prosper,7.7762,-81.76,Panama,Coiba National Park,No take multizoned,MPA,AIPAN19,902479,coiba national park and its special zone of marine protection (szmp)- resource management zone,Panama,2005,3,1557.392316,1557.392,Medium,,,This site falls in the restricted take zone
ETP79,Roca Corbita,7.6562,-81.7302,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,288.826,Medium,PS,EC,
ETP8,Isla Casayeta,8.5307,-79.006,Panama,Las Perlas Marine Special Management Zone,Restricted take multizoned,MPA,,,zona especial de manejo marino costero archipielago de las perlas,Panama,1988,4,1272,1272,Low,Mix,EC,"This data isn't included in the PS database, but is available online. So this MPA will not have predictions."
ETP80,Frijol,7.65017,-81.7185,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,288.826,Medium,PS,EC,
ETP81,Islote derecha Racheria,7.62511,-81.7117,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,288.826,Medium,PS,EC,
ETP82,Punta Iglesia,7.63295,-81.6943,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,288.826,Medium,PS,EC,
ETP83,Granito de Oro,7.59307,-81.7101,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,288.826,Medium,PS,EC,
ETP84,Punta Baltazar Oeste,7.64627,-81.7612,Panama,Coiba National Park,No take multizoned,MPA,AIPAN24,,parque nacional coiba- marine reserve zone,Panama,2005,5,456.7183769,288.826,Medium,PS,EC,
